R,G,B
46,40,33
42,43,41
26,35,9
18,18,12
33,22,42
45,30,57
36,27,30
38,40,10
49,52,20
42,36,37
39,24,56
33,22,48
36,40,29
34,44,14
28,30,18
31,23,34
38,30,41
45,40,37
43,30,54
47,33,45
46,28,29
49,33,27
42,38,27
32,41,21
33,48,21
33,42,16
41,35,22
48,30,37
31,15,33
22,16,39
14,19,34
12,25,23
38,50,30
45,56,24
23,27,8
29,41,23
33,50,36
25,35,22
27,26,12
37,29,16
28,26,15
22,27,18
36,40,34
45,39,32
50,39,31
47,37,30
33,32,28
31,32,30
39,32,29
44,28,22
34,48,42
29,36,31
43,44,40
56,52,47
45,41,36
46,43,38
32,34,28
17,22,13
30,35,26
39,47,36
34,46,34
13,27,15
19,36,23
42,55,41
34,38,26
18,18,6
31,38,23
29,38,18
34,43,22
31,33,21
35,30,29
33,28,30
22,21,17
32,36,24
13,17,5
26,30,24
40,45,44
35,41,40
27,35,25
30,34,23
27,28,24
24,26,27
17,24,17
29,36,29
26,40,28
9,34,14
17,40,26
34,38,43
32,25,40
30,35,34
18,40,12
26,45,12
43,41,31
43,31,43
18,24,37
15,32,41
31,32,52
32,8,43
21,21,21
42,40,39
48,45,40
36,33,28
33,30,26
31,26,27
34,33,35
17,23,22
34,52,45
23,47,37
19,36,27
33,34,32
42,29,31
36,22,24
34,33,29
34,45,37
32,43,41
29,38,35
40,48,41
47,52,43
34,38,27
32,33,24
31,28,24
12,7,9
19,11,21
27,18,31
35,25,41
37,29,40
38,35,37
31,33,27
25,34,21
38,50,30
34,43,30
25,39,33
31,43,45
48,44,43
39,27,15
38,31,14
42,44,32
22,22,22
30,24,25
40,39,29
25,41,23
21,41,28
26,31,34
42,32,44
51,44,49
19,26,19
52,53,44
13,24,21
3,29,16
20,53,16
22,51,2
16,35,10
14,25,39
5,18,50
16,31,47
23,31,24
36,35,21
33,34,24
32,43,33
19,37,24
26,38,26
36,37,28
60,50,67
33,28,27
25,26,10
14,24,12
21,27,32
32,24,41
24,12,24
28,29,25
17,38,23
20,46,32
19,34,26
30,28,28
34,28,33
21,22,26
25,27,27
42,40,39
10,36,20
28,41,27
28,29,20
23,25,26
28,32,33
33,31,20
60,49,29
46,34,22
26,20,25
35,33,45
36,31,33
32,30,20
47,55,44
15,32,29
16,28,32
33,36,41
31,25,20
27,22,21
24,20,15
26,28,8
32,40,10
37,40,25
39,33,44
42,31,51
44,35,45
43,35,28
39,32,17
46,40,21
53,49,25
53,49,30
52,43,39
40,26,37
41,55,14
37,46,19
26,30,18
31,33,27
31,34,25
20,26,9
25,31,12
30,34,22
25,23,23
32,28,34
39,35,40
35,34,30
22,22,16
21,19,19
35,28,43
47,35,63
39,42,40
32,31,40
33,33,45
38,42,43
42,46,40
34,37,35
30,26,32
42,37,39
52,47,38
26,20,7
35,23,21
48,35,37
28,19,15
27,24,9
40,38,28
34,28,29
22,21,30
27,27,27
20,24,18
22,29,24
36,38,39
50,40,46
45,35,35
19,23,12
31,43,31
43,46,44
49,33,40
43,26,29
35,37,31
26,43,30
26,30,25
36,20,27
29,37,14
32,34,28
36,29,42
40,27,51
42,32,44
40,38,27
34,36,14
31,31,19
37,33,38
23,20,29
36,36,36
28,30,24
19,20,18
32,28,33
38,33,34
46,45,35
43,36,41
43,32,42
37,25,31
44,36,29
38,38,24
25,27,21
26,28,28
29,30,21
39,40,20
45,42,27
22,13,23
20,11,38
42,42,60
36,46,40
23,37,13
30,44,16
37,42,33
32,43,33
29,42,34
19,27,20
27,24,19
42,33,29
32,27,24
26,27,25
27,27,27
37,31,32
48,37,39
46,38,39
36,33,35
36,32,37
43,34,37
48,31,35
32,44,38
42,46,41
45,38,35
53,44,41
45,42,38
42,49,42
20,31,23
27,34,27
30,28,20
43,40,32
37,38,29
17,29,17
24,42,29
25,42,29
15,23,12
34,33,23
17,27,21
40,40,26
34,31,10
28,34,11
29,37,26
30,28,27
42,31,33
39,34,31
28,35,30
11,22,19
27,31,26
23,22,12
22,31,11
27,43,26
20,25,23
45,35,48
44,45,49
33,31,30
26,35,22
22,48,25
31,61,42
40,53,45
36,32,27
37,39,17
45,63,26
39,59,30
26,32,27
30,32,40
26,41,43
10,32,30
20,26,39
44,22,57
34,29,44
42,42,48
37,41,36
28,33,24
37,38,34
41,38,40
50,49,53
37,44,39
25,43,26
36,56,33
33,45,23
43,37,26
54,39,36
48,36,30
38,41,25
37,54,27
44,44,38
27,31,25
26,37,29
25,38,30
19,31,25
20,25,23
27,22,24
38,25,33
40,26,37
25,15,27
34,31,40
28,32,37
20,26,25
34,38,32
39,38,28
31,27,16
45,43,42
47,52,51
32,36,37
40,35,34
49,39,29
28,25,10
19,29,13
33,45,33
40,48,37
20,33,19
8,27,12
25,44,35
30,34,35
34,20,31
54,37,48
47,33,39
63,46,60
19,12,33
25,33,46
19,35,24
25,37,15
31,32,30
17,12,44
17,16,58
13,17,35
21,21,7
42,35,10
38,33,12
35,38,22
28,38,22
19,19,7
34,23,19
61,38,46
30,21,31
22,28,33
30,36,35
22,23,19
28,27,31
19,20,34
25,29,40
38,45,40
38,51,29
23,40,19
27,34,29
40,32,42
35,21,32
26,24,23
22,39,25
16,50,10
37,49,31
29,27,26
25,28,26
39,47,37
37,34,26
58,39,42
53,34,43
39,31,41
29,28,38
61,52,65
60,52,59
36,44,33
11,35,11
21,38,25
48,50,51
24,32,22
24,29,28
17,21,15
19,25,2
28,32,3
43,34,25
31,9,27
45,19,37
35,14,13
37,17,6
49,30,23
50,34,27
48,44,19
44,49,17
37,41,29
47,44,59
40,39,43
25,27,21
24,30,11
25,33,10
27,33,14
28,30,24
39,39,39
22,23,19
28,32,21
17,21,9
13,13,7
30,26,31
20,14,25
17,13,19
33,33,27
55,58,42
31,40,37
14,22,29
25,34,43
32,45,43
25,43,30
25,40,32
25,35,35
29,37,36
32,41,28
27,32,17
27,24,19
41,35,36
42,39,31
30,27,12
25,23,12
26,21,20
41,40,44
31,28,24
29,30,20
28,35,28
25,27,28
30,20,26
35,21,22
20,21,11
21,35,23
43,48,46
46,32,38
36,21,25
34,40,35
32,53,44
32,40,39
28,12,23
26,27,31
37,38,36
25,29,18
25,26,16
39,34,36
38,28,44
30,23,36
29,30,21
33,42,16
45,54,33
34,36,37
29,26,42
39,37,49
38,39,35
34,36,24
38,37,27
34,43,17
32,40,29
19,29,29
26,35,38
29,35,42
16,12,31
19,8,34
24,20,26
25,32,11
38,49,17
34,34,20
31,20,28
47,33,44
47,39,39
30,31,21
21,29,18
20,33,35
38,43,46
37,33,38
33,29,34
31,31,37
26,26,32
31,24,31
39,26,34
22,11,21
41,37,48
49,49,61
34,30,42
36,23,37
43,26,40
32,16,33
33,23,39
36,37,35
36,31,30
46,36,36
34,26,26
27,30,28
25,39,33
18,32,26
36,43,36
43,37,32
36,21,18
47,37,30
37,38,29
23,34,24
27,43,32
23,37,25
24,34,22
22,29,26
34,34,22
42,39,18
40,45,24
23,31,20
36,34,34
42,31,33
32,27,24
22,29,24
18,29,26
25,29,24
29,29,17
32,41,21
25,41,24
20,25,23
40,27,41
42,38,63
26,18,25
35,31,26
25,37,31
5,29,27
29,47,34
52,57,26
46,47,8
51,62,36
48,65,56
40,54,48
31,45,33
27,49,31
21,45,35
23,32,35
38,29,42
44,36,43
40,40,40
36,47,37
20,37,24
19,33,29
22,28,33
36,41,50
44,51,54
29,38,28
39,42,26
42,31,17
46,24,18
59,37,32
55,46,36
27,42,15
4,35,0
34,25,11
36,32,21
23,26,17
23,32,29
9,21,23
28,36,43
36,38,48
33,32,42
28,28,34
35,40,43
23,31,30
21,31,25
32,38,33
36,33,28
39,27,23
44,24,23
39,45,50
51,49,49
51,42,38
41,37,32
36,35,31
30,26,21
31,27,16
41,44,28
32,51,32
10,33,19
16,27,24
38,40,40
44,45,43
26,26,26
36,23,31
29,2,18
28,20,30
27,26,42
52,53,73
36,33,48
19,8,18
42,27,41
51,38,62
19,20,40
22,33,31
27,37,14
41,45,16
46,46,28
38,41,32
32,32,26
33,24,11
40,22,5
35,12,16
37,28,41
17,24,39
18,25,28
25,28,19
41,43,43
42,45,60
17,18,32
